File Name	group	condition	replicate	BatchMS	vs
LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01.features	A	1	0		
LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02.features	A	1	1		
LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03.features	A	1	2		
LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_04.features	A	1	3		
LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_01.features	A	1	4		
LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_02.features	A	1	5		
LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_03.features	A	1	6		
LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_04.features	A	1	7		
LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_01.features	A	1	8		
LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_02.features	A	1	9		
LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_03.features	A	1	10		
LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_04.features	A	1	11		
LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01.features	B	1	12		
LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02.features	B	1	13		
LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03.features	B	1	14		
LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_04.features	B	1	15		
LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_01.features	B	1	16		
LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_02.features	B	1	17		
LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_03.features	B	1	18		
LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_04.features	B	1	19		
LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_01.features	B	1	20		
LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_02.features	B	1	21		
LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_03.features	B	1	22		
LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_04.features	B	1	23		
