File Name	group	condition	vs	replicate	BatchMS
G3_08092022.features	G	r_opacus_1cp		3	
G6_08092022.features	G	r_opacus_1cp		6	
G5_08092022.features	G	r_opacus_1cp		5	
G4_08092022.features	G	r_opacus_1cp		4	
G1_08092022_2.features	G	r_opacus_1cp		1	
G2_08092022.features	G	r_opacus_1cp		2	
B5_08092022.features	B	r_opacus_1cp		5	
B6_08092022.features	B	r_opacus_1cp		6	
B4_08092022.features	B	r_opacus_1cp		4	
B3_08092022.features	B	r_opacus_1cp		3	
B2_08092022.features	B	r_opacus_1cp		2	
B1_08092022_20220908202953.features	B	r_opacus_1cp		1	
ClP4_08092022.features	ClP	r_opacus_1cp		4	
ClP2_08092022.features	ClP	r_opacus_1cp		2	
ClP6_08092022.features	ClP	r_opacus_1cp		6	
ClP3_08092022.features	ClP	r_opacus_1cp		3	
ClP5_08092022_2.features	ClP	r_opacus_1cp		5	
ClP1_08092022.features	ClP	r_opacus_1cp		1	
P5_08092022.features	P	r_opacus_1cp		5	
P3_08092022.features	P	r_opacus_1cp		3	
P6_08092022.features	P	r_opacus_1cp		6	
P4_08092022.features	P	r_opacus_1cp		4	
P1_08092022.features	P	r_opacus_1cp		1	
P2_08092022.features	P	r_opacus_1cp		2	
